;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
MG-1-neg-10338160_st;5,30233577544517;6,57926190798918;6,5014881217878;4,64804916015293;7,00931633043494;2,03939923402159
MG-1-neg-10338161_st;6,62306251759185;6,39437340152767;7,12522615573968;5,67089041476582;6,75667040306678;6,42128970934356
MG-1-neg-10338162_st;6,27453208703255;6,48360507182113;7,10305702678409;6,35598514344399;7,13860488216494;6,55727916587515
MG-1-neg-10338164_st;4,07585287529652;3,70804927262363;3,99499468250272;4,78702271014132;4,42793020032804;5,05538723973564
MG-1-neg-10338165_st;2,42870428651184;2,33154158337663;2,30439169396738;3,45146440468951;2,53021167946872;2,17134334801603
MG-1-neg-10338167_st;1,36101396180069;1,65709297891005;1,42813259320758;1,57930897213067;1,49173255222037;2,21702051137793
MG-1-neg-10338169_st;1,91077762785688;2,53788925338799;2,74778848244153;2,29161564456604;2,0053670171636;1,74590335466768
MG-1-neg-10338170_st;2,48560000087923;1,86714196158671;1,86239545530547;3,14880208887147;1,5683817510162;2,72020533872339
MG-1-neg-10338171_st;2,70866585532994;1,94006380062184;3,70593897718251;2,07337271128613;2,67820166923737;2,1399034049904
MG-1-neg-10338172_st;5,5329646579284;5,25267722072071;5,81891059402579;5,77451314403277;6,1849872447012;6,0805948842578
MG-1-neg-10338173_st;7,34534701436538;7,30360954997879;9,22802839385426;10,5228872946856;9,90528653914902;9,8069223264721
MG-1-neg-10338174_st;3,34914613977083;3,35986156786954;3,66693736064962;4,44888509673071;4,24122365881842;2,9785875017675
MG-1-neg-10338175_st;2,66338209030152;2,62102847928237;2,34906869866864;4,26552248989544;1,9414691963291;3,45146168078407
